schoolnaam,lat,lng,hoog,adres,postcode,plaats,telnr,email,website
ATO basisschool 't Mozaiek, 51.69873, 5.26272, 33.33333333, Jan Olieslagersstraat 51, 5224 BD, 's-Hertogenbosch, 073-8225210, directie@bsmozaiek.nl, www.kcwesterbreedte.nl
ATO basisschool De Kruisstraat, 51.73190, 5.39628, 42.85714286, gesloten, -, -, -, -, -
ATO jenaplan kindcentrum De Ontdekking, 51.69348, 5.26695, 22.72727273, Rijzertlaan 242, 5223 JR, 's-Hertogenbosch, 073-8507726, kcdeontdekking@kanteel.nl, www.kanteel.nl
ATO montessorischool De Aquamarijn, 51.68945, 5.33391, 52.63157895, Waalstraat 50, 5215 CK, 's-Hertogenbosch, 073-6145372, info@aquamarijn.org, www.aquamarijn.org
ATO montessorischool Merlijn, 51.72743, 5.29693, 56, Zilverkruid 12, 5237 HA, 's-Hertogenbosch, 073-6449523, info@montessorischoolmerlijn.nl, www.montessorischoolmerlijn.nl
Basisschool Aventurijn, 51.72892, 5.30261, 42.85714286, Hengmeng 92-94, 5235 JZ, 's-Hertogenbosch, 06-51908623, directie@aventurijndenbosch.nl, www.aventurijndenbosch.nl
Basisschool de Duizendpoot, 51.71408, 5.30351, 20, Het Wielsem 1, 5231 BV, 's-Hertogenbosch, 073-6450735, directie@bsdeduizendpoot.nl, www.bsdeduizendpoot.nl
Basisschool de Haren, 51.71640, 5.32699, 17.64705882, Ploossche Hof 85, -, 's-Hertogenbosch, 073-6446560, info@bsdeharen.nl, www.bsdeharen.nl
Basisschool De Masten, 51.70871, 5.38395 , 77.77777778, St. Jozefstraat 1, 5248 AT, Rosmalen, 073-8511400, info@demasten.nl, www.demasten.nl
Basisschool het Palet, 51.70908, 5.31632 , 50, Eekbrouwersweg 2, 5233 VG, 's-Hertogenbosch, 073-6450754, info@bshetpalet.nl, www.bshetpalet.nl
Basisschool Imam Albogari, 51.69405, 5.29077 , 20, Churchilllaan 82, 5224 BW, ’s-Hertogenbosch, 073-8511420, info@basisschoolnour.nl, www.basisschoolnour.nl
Basisschool Jeroen Bosch, 51.69646, 5.34216 , 42.85714286, Vincent van Goghlaan 28, 5246 GB, Rosmalen, 073-8225100, info@bsjeroenbosch.nl, www.bsjeroenbosch.nl
Basisschool Oberon, 51.68943, 5.33444 , 4.545454545, Waalstraat 52, 5215 CK, 's-Hertogenbosch, 073-6130213, info@bs-oberon.nl, www.bs-oberon.nl
Basisschool 't Ven, 51.71606, 5.35430 , 67.85714286, Moerven 323, 5464 PG, Veghel, 041-3319944, ven@skipov.nl, www.skipov.nl
Basisschool 't Wikveld, 51.732376, 5.321975, 46.47887324, Meerwijkweg 2, 5236 BM, Empel, 073-6400993, info@wikveld.nl, www.wikveld.nl
Christelijke Basisschool De Cirkel, 51.68059, 5.32368 , 46.47887324, Chopinstraat 10, 5216 EW, 's-Hertogenbosch, 073-6132524, -, -
De Troubadour School voor Basisonderwijs, 51.70721, 5.36278 , 72, Mozartlaan 17, 5242 HR, Rosmalen, -, mbrussee@kcdetroubadour.nl, www.kcdetroubadour.nl
Educatief Centrum 't Sparrenbos, 51.71564, 5.37936, 57.44680851, Eikakkerhoeven 83, 5242 KM, Rosmalen, 073-8511115, info@ecsparrenbos.nl, www.ecsparrenbos.nl
Jenaplanschool Antonius Abt, 51.72862, 5.25604, 59.67741935, Oberon 17, 5221 LT, Engelen, 073-8511200, jpantabt@srob.nl, www.antoniusabt.nl
Protestants Christelijke Basisschool De Bron, 51.72735, 5.29672, 38.46153846, Zilverkruid 10, 5237 HA, 's Hertogenbosch, 073-6449176, info@bsdebron.nl, www.bsdebron.nl
RK Basisschool De Kameleon, 51.69660, 5.31054, 20.40816327, Graafseweg 52, 5213 AL, 's-Hertogenbosch, 073-6158050, directie@kbsdekameleon.nl, www.kbsdekameleon.nl
Rooms Kaholieke Basisschool De Borch, 51.72214, 5.36118, 12.5, 	Terpeborch 74, 5241 KB, Rosmalen, 073-5213995, directie@bsdeborch.nl, www.bsdeborch.nl
Rooms Katholieke Basisschool de Kruisboelijn, 51.69570, 5.25852, 11.53846154, Churchilllaan 82, 5224 BW, 's-Hertogenbosch, 073-6211223, info@dekruisboelijn.nl, www.dekruisboelijn.nl
Rooms Katholieke Basisschool Den Krommenhoek, 51.72151, 5.37123, 41.66666667, Luyckershofke 33, 5243 WC, Rosmalen, 073-5214152, info@denkrommenhoek.nl, www.denkrommenhoek.nl
Rooms Katholieke Basisschool het Bossche Broek, 51.67905, 5.31550, 58.44155844, Liviusstraat 4, 5216 CD, 's-Hertogenbosch, 073-6132201, info@hetbosschebroek.nl, www.hetbosschebroek.nl
Rooms Katholieke Basisschool Monseigneur Bekkers, 51.69428, 5.26930, 45.45454545, Zandveldstraat 1-3, 5223 JX, 's-Hertogenbosch, 073-6216949, -, -
Rooms Katholieke Basisschool Paus Joannes, 51.70089, 5.26013, 38.23529412, Jan Olieslagersstraat 51, 5224 BD, 's-Hertogenbosch, 073-8225210, directie@pausjoannesschool.nl, www.kcwesterbreedte.nl
Rooms Katholieke Basisschool 't Boschveld, 51.69338, 5.29013, 18.18181818, Celsiusstraat 29, 5223 CA, 's-Hertogenbosch, 073-6210042, info@kcboschveld.nl, www.kcboschveld.nl
Rooms Katholieke Basisschool 't Schrijverke, 51.73020, 5.28854, 46.96969697, Patagonstraat 1-2-7, 5237 NE, 's-Hertogenbosch, 073-6421903, info@bsschrijverke.nl, www.bsschrijverke.nl
Vrije School De Driestroom, 51.68978, 5.33164, 66.66666667, Waalstraat 30, 5215 CK, 's-Hertogenbosch, 073-6139158, administratie@vsdedriestroom.nl, www.vsdedriestroom.nl
Wittering.nl, 51.73608, 5.36391, 50, Deltalaan 140, 5247 JT, Rosmalen, 073-8507750, info@wittering.nl, www.wittering.nl
Basisschool De Matrix, 51.72055, 5.26821, 60.46511628, Kraanvogellaan 4, 5221 GB, 's-Hertogenbosch, 073-6330441, info@kcdematrix.nl, www.kcdematrix.nl
Kindcentrum De Hoven, 51.729054, 5.351956, 0, Laaghemaal 48, 5247 NP, Rosmalen, 073-8511120, armakooiker@kcdehoven.nl, www.kcdehoven.nl
