schoolnaam,lat,lng,hoog,adres,postcode,plaats,telnr,email,website
Basisschool Oberon, 51.68943, 5.33444 , 4.545454545, Waalstraat 52, 5215 CK, 's-Hertogenbosch, 0736130213, info@bs-oberon.nl
Basisschool 't Ven, 51.71606, 5.35430 , 67.85714286, Moerven 323, 5464 PG, Veghel, 0413319944, ven@skipov.nl
Basisschool 't Wikveld, 51.732376, 5.321975, 46.47887324, Meerwijkweg 2, 5236 BM, Empel, 0736400993, info@wikveld.nl
Christelijke Basisschool De Cirkel, 51.68059, 5.32368 , 46.47887324, Chopinstraat 10, 5216 EW, 's-Hertogenbosch, 0736132524, -
De Troubadour School voor Basisonderwijs, 51.70721, 5.36278 , 72, Mozartlaan 17, 5242 HR, Rosmalen, -, mbrussee@kcdetroubadour.nl
Educatief Centrum 't Sparrenbos, 51.71564, 5.37936, 57.44680851, Eikakkerhoeven 83, 5242 KM, Rosmalen, 073-8511115, info@ecsparrenbos.nl
Jenaplanschool Antonius Abt, 51.72862, 5.25604, 59.67741935, Oberon 17, 5221 LT, Engelen, 0738511200, jpantoniusabt@kw1c.nl
Protestants Christelijke Basisschool De Bron, 51.72735, 5.29672, 38.46153846, Zilverkruid 10, 5237 HA, 's Hertogenbosch, 0736449176, info@bsdebron.nl
RK Basisschool De Kameleon, 51.69660, 5.31054, 20.40816327, Graafseweg 52, 5213 AL, 's-Hertogenbosch, 073-6158050, directie@kbsdekameleon.nl
Rooms Kaholieke Basisschool De Borch, 51.72214, 5.36118, 12.5, 	Terpeborch 74, 5241 KB, ROSMALEN, 073-5213995, directie@bsdeborch.nl 
Rooms Katholieke Basisschool de Kruisboelijn, 51.69570, 5.25852, 11.53846154, Churchilllaan 82, 5224 BW, 's-Hertogenbosch, 073-6211223, info@dekruisboelijn.nl
Rooms Katholieke Basisschool Den Krommenhoek, 51.72151, 5.37123, 41.66666667, Luyckershofke 33, 5243 WC, Rosmalen, 073-5214152, info@denkrommenhoek.nl
Rooms Katholieke Basisschool het Bossche Broek, 51.67905, 5.31550, 58.44155844, Liviusstraat 4, 5216 CD, 's-Hertogenbosch, 073-6132201, info@hetbosschebroek.nl
Rooms Katholieke Basisschool Monseigneur Bekkers, 51.69428, 5.26930, 45.45454545 Zandveldstraat 1-3, 5223 JX, 's-Hertogenbosch, 073-6216949, -
Rooms Katholieke Basisschool Paus Joannes, 51.70089, 5.26013, 38.23529412, Jan Olieslagersstraat 51, 5224 BD, 's-Hertogenbosch, 073-8225210, directie@pausjoannesschool.nl
Rooms Katholieke Basisschool 't Boschveld, 51.69338, 5.29013, 18.18181818, Celsiusstraat 29, 5223 CA, 's-Hertogenbosch, 073-6210042, info@kcboschveld.nl
Rooms Katholieke Basisschool 't Schrijverke, 51.73020, 5.28854, 46.96969697, Patagonstraat 1-2-7, 5237 NE, 's-Hertogenbosch, 073-6421903, info@bsschrijverke.nl
Vrije School De Driestroom, 51.68978, 5.33164, 66.66666667, Waalstraat 30, 5215 CK, 's-Hertogenbosch, 073-6139158, administratie@vsdedriestroom.nl
Wittering.nl, 51.73608, 5.36391, 50, Deltalaan 140, 5247 JT, Rosmalen, 073-8507750, info@wittering.nl
Basisschool De Matrix, 51.72055, 5.26821, 60.46511628, Kraanvogellaan 4, 5221 GB, 's-Hertogenbosch, info@kcdematrix.nl
Kindcentrum De Hoven, 51.729054, 5.351956, 0, Laaghemaal 48, 5247 NP, Rosmalen, info@bsdehoven.nl
